crown_id,ortho,gx,gy,label,n_views,best_margin_px,tile,tile_path,bx,by,bw,bh,split_fold
44000_16000_00033,44000_16000,2056.0,292.0,Healthy,7,238.0,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,390,194,88,88,44000_16000
44000_16000_00034,44000_16000,2252.5,293.5,Healthy,6,239.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,599,208,63,63,44000_16000
44000_16000_00035,44000_16000,1485.5,297.0,Healthy,13,232.0,44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,layer1_build\ds_B\train\44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,546,175,113,114,44000_16000
44000_16000_00036,44000_16000,1861.0,299.5,Healthy,10,239.0,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,189,195,100,101,44000_16000
44000_16000_00037,44000_16000,401.5,313.5,Healthy,4,235.5,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,202,179,113,113,44000_16000
44000_16000_00038,44000_16000,1181.0,339.0,Healthy,19,281.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,571,237,88,88,44000_16000
44000_16000_00039,44000_16000,993.0,339.5,Healthy,17,281.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,377,231,100,101,44000_16000
44000_16000_00040,44000_16000,797.0,340.5,Healthy,10,262.5,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,604,212,100,101,44000_16000
44000_16000_00041,44000_16000,572.0,342.0,Healthy,6,264.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,379,214,100,100,44000_16000
44000_16000_00042,44000_16000,1381.0,347.5,Healthy,20,282.5,44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,layer1_build\ds_B\train\44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,442,226,112,113,44000_16000
44000_16000_00043,44000_16000,2151.0,349.5,Healthy,8,295.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,479,245,100,101,44000_16000
44000_16000_00044,44000_16000,1952.0,350.5,Healthy,11,296.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,280,246,100,101,44000_16000
44000_16000_00045,44000_16000,1758.5,356.0,Healthy,19,269.0,44000_16000_1013_87_jpg.rf.c98991ecc4845010e6202c466dd2f019.jpg,layer1_build\ds_B\train\44000_16000_1013_87_jpg.rf.c98991ecc4845010e6202c466dd2f019.jpg,727,250,37,38,44000_16000
44000_16000_00046,44000_16000,472.0,370.0,Healthy,4,292.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,279,242,100,100,44000_16000
44000_16000_00047,44000_16000,701.0,387.0,Healthy,10,309.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,508,259,100,100,44000_16000
44000_16000_00048,44000_16000,898.0,396.5,Healthy,15,332.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,276,282,112,113,44000_16000
44000_16000_00049,44000_16000,1087.5,396.5,Healthy,20,338.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,478,294,87,89,44000_16000
44000_16000_00050,44000_16000,1279.0,397.0,Healthy,21,332.0,44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,layer1_build\ds_B\train\44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,352,288,88,88,44000_16000
44000_16000_00051,44000_16000,1869.5,403.5,Healthy,18,282.5,44000_16000_1129_121_jpg.rf.9a05952df1ea959af19fab4042fff8d8.jpg,layer1_build\ds_B\valid\44000_16000_1129_121_jpg.rf.9a05952df1ea959af19fab4042fff8d8.jpg,709,251,63,63,44000_16000
44000_16000_00052,44000_16000,1485.5,404.0,Healthy,21,339.0,44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,layer1_build\ds_B\train\44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,546,282,113,114,44000_16000
44000_16000_00053,44000_16000,289.0,404.5,Healthy,5,149.0,44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,layer1_build\ds_B\train\44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,124,268,50,51,44000_16000
44000_16000_00054,44000_16000,2050.0,407.5,Healthy,14,353.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,384,309,88,89,44000_16000
44000_16000_00055,44000_16000,2248.5,413.0,Healthy,12,359.0,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,583,315,87,88,44000_16000
44000_16000_00056,44000_16000,404.0,441.5,Healthy,7,264.0,44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,layer1_build\ds_B\train\44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,214,280,100,101,44000_16000
44000_16000_00057,44000_16000,994.0,452.5,Healthy,23,394.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,378,344,100,101,44000_16000
44000_16000_00058,44000_16000,795.5,454.0,Healthy,15,371.5,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,609,332,87,88,44000_16000
44000_16000_00059,44000_16000,576.0,456.0,Healthy,11,378.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,383,328,100,100,44000_16000
44000_16000_00060,44000_16000,1187.5,456.5,Healthy,25,398.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,578,354,87,89,44000_16000
44000_16000_00061,44000_16000,1388.0,461.5,Healthy,27,396.5,44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,layer1_build\ds_B\train\44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,449,340,112,113,44000_16000
44000_16000_00062,44000_16000,1573.5,465.0,Healthy,25,378.0,44000_16000_1013_87_jpg.rf.c98991ecc4845010e6202c466dd2f019.jpg,layer1_build\ds_B\train\44000_16000_1013_87_jpg.rf.c98991ecc4845010e6202c466dd2f019.jpg,504,321,113,114,44000_16000
44000_16000_00063,44000_16000,1764.0,467.5,Healthy,23,346.5,44000_16000_1129_121_jpg.rf.9a05952df1ea959af19fab4042fff8d8.jpg,layer1_build\ds_B\valid\44000_16000_1129_121_jpg.rf.9a05952df1ea959af19fab4042fff8d8.jpg,579,290,112,113,44000_16000
44000_16000_00064,44000_16000,1954.0,468.5,Healthy,20,332.0,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,282,364,100,101,44000_16000
44000_16000_00065,44000_16000,2150.5,470.5,Healthy,14,416.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,472,360,113,113,44000_16000
44000_16000_00066,44000_16000,474.0,480.5,Healthy,9,334.0,44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,layer1_build\ds_B\train\44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,284,319,100,101,44000_16000
44000_16000_00067,44000_16000,298.0,496.5,Healthy,9,158.0,44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,layer1_build\ds_B\train\44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,133,360,50,51,44000_16000
44000_16000_00068,44000_16000,701.0,509.0,Healthy,15,431.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,508,381,100,100,44000_16000
44000_16000_00069,44000_16000,895.5,509.0,Healthy,23,372.5,44000_16000_244_102_jpg.rf.f36966ff27b505547ab739510307813a.jpg,layer1_build\ds_B\train\44000_16000_244_102_jpg.rf.f36966ff27b505547ab739510307813a.jpg,608,363,87,88,44000_16000
44000_16000_00070,44000_16000,1085.5,512.0,Healthy,28,454.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,476,410,87,88,44000_16000
44000_16000_00071,44000_16000,1663.0,513.0,Healthy,28,392.0,44000_16000_1129_121_jpg.rf.9a05952df1ea959af19fab4042fff8d8.jpg,layer1_build\ds_B\valid\44000_16000_1129_121_jpg.rf.9a05952df1ea959af19fab4042fff8d8.jpg,478,335,112,114,44000_16000
44000_16000_00072,44000_16000,1284.0,514.0,Healthy,28,415.0,44000_16000_790_99_jpg.rf.53acc578f7f492ca12987d84921fcc6d.jpg,layer1_build\ds_B\train\44000_16000_790_99_jpg.rf.53acc578f7f492ca12987d84921fcc6d.jpg,450,371,88,88,44000_16000
44000_16000_00073,44000_16000,1465.5,518.5,Healthy,28,441.5,44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,layer1_build\ds_B\train\44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,526,397,113,113,44000_16000
44000_16000_00074,44000_16000,2241.5,520.0,Healthy,17,419.0,44000_16000_1695_101_jpg.rf.dcd818635b64ee68f378545365aada5a.jpg,layer1_build\ds_B\valid\44000_16000_1695_101_jpg.rf.dcd818635b64ee68f378545365aada5a.jpg,503,375,87,88,44000_16000
44000_16000_00075,44000_16000,2052.0,523.5,Healthy,21,430.0,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,380,419,100,101,44000_16000
44000_16000_00076,44000_16000,1860.0,527.5,Healthy,25,357.0,44000_16000_1193_123_jpg.rf.95ccf292686382ece565b32c5b4a2c25.jpg,layer1_build\ds_B\valid\44000_16000_1193_123_jpg.rf.95ccf292686382ece565b32c5b4a2c25.jpg,617,354,100,101,44000_16000
44000_16000_00077,44000_16000,583.5,558.0,Healthy,14,443.5,44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,layer1_build\ds_B\train\44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,406,409,75,76,44000_16000
44000_16000_00078,44000_16000,2276.5,560.0,Healthy,19,442.5,44000_16000_1695_101_jpg.rf.dcd818635b64ee68f378545365aada5a.jpg,layer1_build\ds_B\valid\44000_16000_1695_101_jpg.rf.dcd818635b64ee68f378545365aada5a.jpg,538,415,87,88,44000_16000
44000_16000_00079,44000_16000,404.0,564.5,Healthy,11,264.0,44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,layer1_build\ds_B\train\44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,214,403,100,101,44000_16000
44000_16000_00080,44000_16000,798.0,565.0,Healthy,20,463.0,44000_16000_244_102_jpg.rf.f36966ff27b505547ab739510307813a.jpg,layer1_build\ds_B\train\44000_16000_244_102_jpg.rf.f36966ff27b505547ab739510307813a.jpg,504,413,100,100,44000_16000
44000_16000_00081,44000_16000,1182.5,569.5,Healthy,27,426.5,44000_16000_585_122_jpg.rf.eb29d4d5bd5fd83073d1f7833fe6817b.jpg,layer1_build\ds_B\train\44000_16000_585_122_jpg.rf.eb29d4d5bd5fd83073d1f7833fe6817b.jpg,541,391,113,113,44000_16000
44000_16000_00082,44000_16000,990.0,570.0,Healthy,28,430.0,44000_16000_560_122_jpg.rf.5327ae9af16034591aa52ffbe689a5fc.jpg,layer1_build\ds_B\train\44000_16000_560_122_jpg.rf.5327ae9af16034591aa52ffbe689a5fc.jpg,386,404,88,88,44000_16000
44000_16000_00083,44000_16000,201.0,572.5,Healthy,6,86.5,44000_16000_4_486_jpg.rf.570e6e5fade73df8fcb0a07cc70377f8.jpg,layer1_build\ds_B\valid\44000_16000_4_486_jpg.rf.570e6e5fade73df8fcb0a07cc70377f8.jpg,166,55,62,63,44000_16000
44000_16000_00084,44000_16000,1383.0,576.5,Healthy,32,500.0,44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,layer1_build\ds_B\train\44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,444,455,112,113,44000_16000
44000_16000_00085,44000_16000,1762.0,580.0,Healthy,31,455.0,44000_16000_1193_123_jpg.rf.95ccf292686382ece565b32c5b4a2c25.jpg,layer1_build\ds_B\valid\44000_16000_1193_123_jpg.rf.95ccf292686382ece565b32c5b4a2c25.jpg,513,400,112,114,44000_16000
44000_16000_00086,44000_16000,1568.5,580.5,Healthy,31,468.5,44000_16000_1013_87_jpg.rf.c98991ecc4845010e6202c466dd2f019.jpg,layer1_build\ds_B\train\44000_16000_1013_87_jpg.rf.c98991ecc4845010e6202c466dd2f019.jpg,499,437,113,113,44000_16000
44000_16000_00087,44000_16000,2143.5,581.5,Healthy,22,496.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,465,471,113,113,44000_16000
44000_16000_00088,44000_16000,478.5,602.5,Healthy,13,338.5,44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,layer1_build\ds_B\train\44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,301,454,75,75,44000_16000
44000_16000_00089,44000_16000,110.5,615.5,Unhealthy,1,106.5,44000_16000_4_486_jpg.rf.570e6e5fade73df8fcb0a07cc70377f8.jpg,layer1_build\ds_B\valid\44000_16000_4_486_jpg.rf.570e6e5fade73df8fcb0a07cc70377f8.jpg,75,98,63,63,44000_16000
44000_16000_00090,44000_16000,706.0,617.0,Healthy,20,462.0,44000_16000_244_102_jpg.rf.f36966ff27b505547ab739510307813a.jpg,layer1_build\ds_B\train\44000_16000_244_102_jpg.rf.f36966ff27b505547ab739510307813a.jpg,412,465,100,100,44000_16000
44000_16000_00091,44000_16000,1286.5,618.5,Healthy,30,496.5,44000_16000_790_99_jpg.rf.53acc578f7f492ca12987d84921fcc6d.jpg,layer1_build\ds_B\train\44000_16000_790_99_jpg.rf.53acc578f7f492ca12987d84921fcc6d.jpg,440,463,113,113,44000_16000
44000_16000_00092,44000_16000,1088.0,624.0,Healthy,32,502.0,44000_16000_585_122_jpg.rf.eb29d4d5bd5fd83073d1f7833fe6817b.jpg,layer1_build\ds_B\train\44000_16000_585_122_jpg.rf.eb29d4d5bd5fd83073d1f7833fe6817b.jpg,459,458,88,88,44000_16000
44000_16000_00093,44000_16000,896.5,627.0,Healthy,27,408.0,44000_16000_423_219_jpg.rf.c575d510d826aacb7703a2931b6927dd.jpg,layer1_build\ds_B\test\44000_16000_423_219_jpg.rf.c575d510d826aacb7703a2931b6927dd.jpg,417,351,113,114,44000_16000
